year,state,population,admin,handgun,long_gun,month,multiple,other,permit,totals,city,killed,injured
2013,Georgia,9981773.0,0.0,22516.0,14256.0,2,1017.0,363.0,23389.0,67907.0,Macon,0,8
2013,Illinois,12890403.0,0.0,14147.0,12860.0,9,743.0,0.0,40089.0,67839.0,Chicago,0,4
2013,Illinois,12890403.0,0.0,14147.0,12860.0,9,743.0,0.0,40089.0,67839.0,Chicago,0,12
2013,Illinois,12890403.0,0.0,16360.0,12936.0,8,690.0,0.0,55088.0,85074.0,Chicago,1,4
2013,Illinois,12890403.0,0.0,16360.0,12936.0,8,690.0,0.0,55088.0,85074.0,Chicago,1,3
2013,Illinois,12890403.0,0.0,15986.0,10383.0,7,706.0,0.0,55624.0,82699.0,Rockford,2,2
2013,Illinois,12890403.0,0.0,15986.0,10383.0,7,706.0,0.0,55624.0,82699.0,Chicago,0,5
2013,Illinois,12890403.0,0.0,15986.0,10383.0,7,706.0,0.0,55624.0,82699.0,Chicago,0,4
2013,Illinois,12890403.0,0.0,15062.0,10196.0,6,628.0,0.0,79126.0,105012.0,Chicago,0,6
2013,Illinois,12890403.0,0.0,15062.0,10196.0,6,628.0,0.0,79126.0,105012.0,Chicago,1,4
2013,Illinois,12890403.0,0.0,15062.0,10196.0,6,628.0,0.0,79126.0,105012.0,Chicago,1,3
2013,Illinois,12890403.0,0.0,15062.0,10196.0,6,628.0,0.0,79126.0,105012.0,Chicago,1,3
2013,Illinois,12890403.0,0.0,15062.0,10196.0,6,628.0,0.0,79126.0,105012.0,Chicago,1,4
2013,Illinois,12890403.0,0.0,16142.0,11591.0,5,657.0,0.0,80948.0,109338.0,Chicago,0,4
2013,Illinois,12890403.0,0.0,16142.0,11591.0,5,657.0,0.0,80948.0,109338.0,Chicago,0,4
2013,Illinois,12890403.0,0.0,18421.0,14842.0,4,897.0,0.0,98095.0,132255.0,Manchester,6,1
2013,Illinois,12890403.0,0.0,18421.0,14842.0,4,897.0,0.0,98095.0,132255.0,Chicago (Englewood),0,4
2013,Illinois,12890403.0,0.0,23779.0,19564.0,3,1091.0,0.0,93378.0,137812.0,Chicago,0,7
2013,Illinois,12890403.0,0.0,24175.0,18387.0,2,1247.0,0.0,83806.0,127615.0,Chicago,0,4
2013,Indiana,6567484.0,0.0,17093.0,21064.0,11,723.0,744.0,11046.0,51526.0,Indianapolis,0,4
2013,Indiana,6567484.0,0.0,12956.0,12954.0,9,569.0,576.0,12443.0,40129.0,Gary,2,4
2013,Indiana,6567484.0,0.0,14264.0,12775.0,8,549.0,597.0,20615.0,49336.0,Indianapolis,0,4
2013,Indiana,6567484.0,0.0,12447.0,9845.0,6,469.0,628.0,15786.0,39636.0,Indianapolis,0,4
2013,Indiana,6567484.0,0.0,13497.0,10404.0,5,468.0,682.0,14073.0,39560.0,Columbus,5,0
2013,Indiana,6567484.0,0.0,24239.0,18379.0,3,844.0,1055.0,12834.0,57961.0,Indianapolis,1,3
2013,Kansas,2892900.0,3.0,6785.0,11288.0,12,402.0,270.0,1816.0,21426.0,Topeka,4,0
2013,Kansas,2892900.0,6.0,4069.0,5993.0,9,213.0,208.0,1930.0,13318.0,Wichita,1,6
2013,Kansas,2892900.0,0.0,4830.0,4368.0,7,251.0,172.0,4288.0,14721.0,Topeka,0,4
2013,Kansas,2892900.0,0.0,4830.0,4368.0,7,251.0,172.0,4288.0,14721.0,Wichita,1,4
2013,Kentucky,4399121.0,0.0,8074.0,15492.0,11,625.0,208.0,179357.0,208696.0,Radcliff,1,3
2013,Kentucky,4399121.0,0.0,6395.0,6133.0,7,444.0,184.0,12941.0,29719.0,Greensburg,2,2
2013,Kentucky,4399121.0,3.0,10079.0,9442.0,4,540.0,180.0,15448.0,39190.0,Lexington,1,4
2013,Louisiana,4626795.0,0.0,14000.0,25519.0,12,718.0,522.0,0.0,42824.0,Slidell,2,6
2013,Louisiana,4626795.0,0.0,14000.0,25519.0,12,718.0,522.0,0.0,42824.0,Lockport,3,3
